league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Chelsea,Nicolas Jackson,,,23.0,2001.0,24.7,7,1,0,35,29,23,3,3,13,0,0,0,48,21,36,36.8
ENG-Premier League,2425,Chelsea,Noni Madueke,,,22.0,2002.0,22.6,3,0,0,22,25,5,63,10,18,0,0,0,84,11,19,36.7
ENG-Premier League,2425,Chelsea,Pedro Neto,,,24.0,2000.0,25.2,8,0,0,21,33,3,149,9,9,0,0,0,81,11,30,26.8
ENG-Premier League,2425,Chelsea,Reece James,,,24.0,1999.0,11.8,1,0,0,8,11,0,43,13,9,0,0,0,66,23,9,71.9
ENG-Premier League,2425,Chelsea,Renato Veiga,,,21.0,2003.0,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0
ENG-Premier League,2425,Chelsea,Robert Sánchez,,,26.0,1997.0,32.0,5,0,0,2,4,0,0,2,0,0,2,0,43,12,0,100.0
ENG-Premier League,2425,Chelsea,Roméo Lavia,,,20.0,2004.0,8.9,4,0,0,16,7,0,0,16,13,0,1,0,40,12,6,66.7
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,,,16.0,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,,,26.0,1997.0,15.7,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60.0
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,,,25.0,1999.0,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7
ENG-Premier League,2425,Chelsea,Tyrique George,,,18.0,2006.0,2.0,1,0,0,3,0,2,3,2,0,0,0,0,4,0,4,0.0
ENG-Premier League,2425,Chelsea,Wesley Fofana,,,23.0,2000.0,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2
ENG-Premier League,2425,Crystal Palace,Adam Wharton,,,20.0,2004.0,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,,,18.0,2005.0,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,,,27.0,1996.0,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,,,18.0,2006.0,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0
